lei,scope,refPeriod,bank_name,home_country,largest_country,n_countries,total_exposure_eur,domestic_share,country_hhi,x28_share,reliable
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Germany,30,543657661147.92,0.3873,0.6833,0.5299,false
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Germany,33,256164061678.83,0.3801,0.6614,0.5310,false
0W5QHUNYV4W7GJO62R27,CON,2025-12-31,HYPO TIROL BANK AG,Austria,Austria,34,5435903710.87,0.8628,0.7469,0.0000,true
1FOLRR5RWTWWI397R131,IND,2025-06-30,Aktiebolaget Svensk Exportkredit,Sweden,Sweden,44,37765023643.93,0.7680,0.5941,0.0000,true
2138004FIUXU3B2MR537,CON,2025-06-30,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Portugal,3,15237110813.73,0.9906,0.9813,0.0000,true
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Sweden,8,13115389103.47,0.4353,0.3058,0.0000,true
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Poland,5,1263202497.05,0.2993,0.2685,0.0000,true
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Latvia,59,3606521331.97,0.4305,0.3493,0.0000,true
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Latvia,54,2299887171.22,0.6944,0.5650,0.0000,true
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,France,23,4428066577.53,0.0000,0.1396,0.9075,false
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,France,24,4762095995.62,0.0000,0.1219,0.9110,false
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,United Kingdom,7,116525484215.62,0.0000,0.2348,0.9599,false
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Greece,7,117358175761.17,0.9222,0.8985,0.0267,true
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Serbia,73,7745572000.00,0.0001,0.4473,0.0000,true
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Greece,7,3110670622.18,0.6323,0.5028,0.0670,true
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Norway,1,53227100973.99,1.0000,1.0000,0.0000,true
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Norway,1,52926345984.85,1.0000,1.0000,0.0000,true
